Name	dataID	MTOR1 - Control_clus	MTOR1 - Control_status	MTOR1 - Control_FC	MTOR2 - Control_clus	MTOR2 - Control_status	MTOR2 - Control_FC
BAD_HUMAN.S.99	BAD p-S99 (z= 2)	P	FP	-0.129766335729011	P	OK	-0.191737706745195
GSK3B_HUMAN.S.9	GSK3B p-S9 (z= 3)	P	OK	-0.717737615850892	P	OK	-0.782920027706291
MDC1_HUMAN.S.376	MDC1 p-S376 (z= 4)	C	OK	-0.042745661090521	C	OK	-0.143109212735683
KS6B1_HUMAN.S.447	RPS6KB1 p-S447 p-S452 (z= 2)	P	OK	-0.848104942913205	P	OK	-0.770206245889879
GSK3B_HUMAN.S.9	GSK3B p-S9 (z= 2)	P	OK	-0.713540470048332	P	OK	-0.790692205819302
AKTS1_HUMAN.S.183	AKT1S1 p-S183 (z= 2)	P	OK	-1.92947005178345	P	OK	-2.46664949998011
LARP1_HUMAN.S.774	LARP1 p-S774 (z= 3)	C	OK	0.293726472663556	I	I	0.247793903356355
ACACA_HUMAN.S.80	ACACA p-S80 (z= 2)	P	OK	0.248762032122907	P	OK	0.317537773058794
PTN2_HUMAN.S.304	PTPN2 p-S304 (z= 3)	P	OK	0.369542688399926	P	OK	0.341550918469391
PTN2_HUMAN.S.304	PTPN2 p-S304 (z= 2)	C	OK	-0.175366850521066	C	OK	-0.387709340576492
4EBP1_HUMAN.T.41	EIF4EBP1 p-T41 p-S44 (z= 4)	P	OK	-0.786199663254519	P	OK	-0.684506626058468
MYC_HUMAN.S.62	MYC p-S62 (z= 3)	P	OK	-0.974910166956632	P	OK	-0.836827363562661
EF2K_HUMAN.S.74	EEF2K p-S74 (z= 2)	P	OK	-0.823539400088765	P	OK	-0.553773020258307
FOXK2_HUMAN.S.428	FOXK2 p-S428 (z= 2)	P	OK	-0.617512462216247	P	OK	-0.493153476308454
LARP1_HUMAN.S.774	LARP1 p-S774 (z= 2)	P	OK	-0.574412566363162	P	OK	-0.603589033297591
RICTR_HUMAN.T.1135	RICTOR p-T1135 (z= 3)	P	OK	-1.03489148083988	P	OK	-0.687526738442423
4EBP1_HUMAN.S.65	EIF4EBP1 p-S65 p-T70 (z= 3)	P	FP	-0.363510624481103	P	FP	-0.790835862099811
4EBP1_HUMAN.S.65	EIF4EBP1 p-S65 p-T68 (z= 4) + Oxi	P	OK	-1.06282918444627	P	OK	-1.13301367428246
4EBP1_HUMAN.S.65	EIF4EBP1 p-S65 (z= 3)	P	OK	-0.858151772557076	P	OK	-1.03742920820356
MDC1_HUMAN.S.376	MDC1 p-S376 p-T378 (z= 4)	C	OK	-0.0302883779027905	P	OK	-0.228983720607951
KS6B1_HUMAN.S.447	RPS6KB1 p-T444 p-S447 p-S452 (z= 2)	C	OK	-0.0950380010458511	C	OK	-0.26173246542973
EF2K_HUMAN.S.74	EEF2K p-S71 p-S74 (z= 2)	P	OK	-1.83875202566771	P	OK	-1.42240478040739
