sample	tissue_type
t_01CO005	tumour
t_01CO006	tumour
t_01CO008	tumour
t_01CO013	tumour
t_01CO014	tumour
t_01CO015	tumour
t_01CO019	tumour
t_01CO022	tumour
t_05CO002	tumour
t_05CO003	tumour
t_05CO006	tumour
t_05CO011	tumour
t_05CO015	tumour
t_05CO020	tumour
t_05CO026	tumour
t_05CO028	tumour
t_05CO029	tumour
t_05CO032	tumour
t_05CO033	tumour
t_05CO034	tumour
t_05CO035	tumour
t_05CO037	tumour
t_05CO039	tumour
t_05CO041	tumour
t_05CO044	tumour
t_05CO045	tumour
t_05CO047	tumour
t_05CO048	tumour
t_05CO049	tumour
t_05CO050	tumour
t_05CO053	tumour
t_05CO054	tumour
t_06CO001	tumour
t_06CO002	tumour
t_09CO005	tumour
t_09CO006	tumour
t_09CO008	tumour
t_09CO011	tumour
t_09CO013	tumour
t_09CO014	tumour
t_09CO015	tumour
t_09CO018	tumour
t_09CO019	tumour
t_09CO022	tumour
t_11CO005	tumour
t_11CO007	tumour
t_11CO008	tumour
t_11CO010	tumour
t_11CO018	tumour
t_11CO019	tumour
t_11CO020	tumour
t_11CO021	tumour
t_11CO022	tumour
t_11CO027	tumour
t_11CO030	tumour
t_11CO031	tumour
t_11CO032	tumour
t_11CO033	tumour
t_11CO036	tumour
t_11CO037	tumour
t_11CO039	tumour
t_11CO042	tumour
t_11CO043	tumour
t_11CO044	tumour
t_11CO045	tumour
t_11CO047	tumour
t_11CO048	tumour
t_11CO051	tumour
t_11CO052	tumour
t_11CO053	tumour
t_11CO054	tumour
t_11CO057	tumour
t_11CO058	tumour
t_11CO061	tumour
t_11CO062	tumour
t_11CO070	tumour
t_11CO072	tumour
t_11CO077	tumour
t_11CO079	tumour
t_14CO003	tumour
t_14CO005	tumour
t_15CO001	tumour
t_15CO002	tumour
t_16CO002	tumour
t_16CO003	tumour
t_16CO006	tumour
t_16CO011	tumour
t_20CO001	tumour
t_20CO003	tumour
t_20CO004	tumour
t_20CO006	tumour
t_20CO007	tumour
t_21CO006	tumour
t_21CO007	tumour
t_22CO004	tumour
t_22CO006	tumour
t_27CO004	tumour
n_01CO001	normal
n_01CO005	normal
n_01CO006	normal
n_01CO008	normal
n_01CO013	normal
n_01CO014	normal
n_01CO015	normal
n_01CO019	normal
n_01CO022	normal
n_05CO002	normal
n_05CO003	normal
n_05CO006	normal
n_05CO007	normal
n_05CO011	normal
n_05CO015	normal
n_05CO020	normal
n_05CO026	normal
n_05CO028	normal
n_05CO029	normal
n_05CO032	normal
n_05CO033	normal
n_05CO034	normal
n_05CO035	normal
n_05CO037	normal
n_05CO039	normal
n_05CO041	normal
n_05CO044	normal
n_05CO045	normal
n_05CO047	normal
n_05CO048	normal
n_05CO049	normal
n_05CO050	normal
n_05CO053	normal
n_05CO054	normal
n_06CO001	normal
n_06CO002	normal
n_09CO005	normal
n_09CO006	normal
n_09CO008	normal
n_09CO011	normal
n_09CO013	normal
n_09CO014	normal
n_09CO015	normal
n_09CO018	normal
n_09CO019	normal
n_09CO022	normal
n_11CO005	normal
n_11CO007	normal
n_11CO008	normal
n_11CO010	normal
n_11CO018	normal
n_11CO019	normal
n_11CO020	normal
n_11CO021	normal
n_11CO022	normal
n_11CO027	normal
n_11CO030	normal
n_11CO031	normal
n_11CO032	normal
n_11CO033	normal
n_11CO036	normal
n_11CO037	normal
n_11CO039	normal
n_11CO042	normal
n_11CO043	normal
n_11CO044	normal
n_11CO045	normal
n_11CO047	normal
n_11CO048	normal
n_11CO051	normal
n_11CO052	normal
n_11CO053	normal
n_11CO054	normal
n_11CO057	normal
n_11CO058	normal
n_11CO060	normal
n_11CO061	normal
n_11CO062	normal
n_11CO070	normal
n_11CO072	normal
n_11CO077	normal
n_11CO079	normal
n_14CO002	normal
n_14CO005	normal
n_15CO001	normal
n_15CO002	normal
n_16CO002	normal
n_16CO003	normal
n_16CO006	normal
n_16CO011	normal
n_20CO001	normal
n_20CO003	normal
n_20CO004	normal
n_20CO006	normal
n_20CO007	normal
n_21CO006	normal
n_21CO007	normal
n_22CO004	normal
n_22CO006	normal
n_27CO004	normal
