source_type	kinase	substrates	activity
in_vitro	ABL1	66	0.8119421638453453
in_vitro	ABL2	22	-0.7676218967093162
in_vitro	ACK	11	-0.02232288759579369
in_vitro	ACTR2B	6	-0.6660622243312625
in_vitro	ACTR2	42	1.8891980124393843
in_vitro	AKT1	84	-1.696230935853423
in_vitro	AKT2	79	-1.1348175012114292
in_vitro	AKT3	82	-0.43647590409962916
in_vitro	ALK1	14	-1.018108506535818
in_vitro	ALK2	52	3.705355210631612
in_vitro	ALK4	70	1.0589512241664871
in_vitro	ALK	52	-0.2868328990488184
in_vitro	AMPKA1	89	2.07217881311052
in_vitro	AMPKA2	53	1.489819359160015
in_vitro	AXL	14	0.3175597790307144
in_vitro	AURA	86	-0.0800101445311551
in_vitro	AURB	90	-0.3132035728477157
in_vitro	AURC	102	-0.34070358405158147
in_vitro	BARK1	58	1.0570417553178746
in_vitro	BARK2	2	-0.19158351897548803
in_vitro	BLK	18	-0.0264110840762247
in_vitro	BMPR1A	17	0.6339495181887396
in_vitro	BMPR1B	45	0.7146165621817345
in_vitro	BMPR2	12	-1.0288165443388417
in_vitro	BMX	28	-0.22728978050417833
in_vitro	BRAF	25	-1.7089287318680115
in_vitro	BRK	13	0.15612875449148045
in_vitro	BRSK1	16	-0.45985994541806696
in_vitro	BRSK2	40	1.0240255701034289
in_vitro	BTK	49	1.7883014696744226
in_vitro	BUB1	6	-1.4543255079109305
in_vitro	BUBR1	56	0.4385671209248253
in_vitro	CAMKK1	19	-1.7963912441686616
in_vitro	CAMKK2	15	-1.4255039323423309
in_vitro	CDC2	195	15.69104600205569
in_vitro	CDC7	12	0.15622112864725354
in_vitro	CDK11	6	0.1703015002308562
in_vitro	CDK2	199	12.61389254312922
in_vitro	CDK3	81	10.156167107107537
in_vitro	CDK4	40	1.1135557268720557
in_vitro	CDK5	169	3.9384311705428687
in_vitro	CDK6	70	0.9946949349226709
in_vitro	CDK7	31	2.1919809892166824
in_vitro	CDK8	18	0.18042889643395604
in_vitro	CDK9	149	6.844236826145685
in_vitro	CGK2	104	-0.4126558890592266
in_vitro	CHK1	67	1.629218888765572
in_vitro	CHK2	37	0.3475604559457863
in_vitro	CK1A	36	0.5766666874705592
in_vitro	CK1D	95	2.0366240706563077
in_vitro	CK1E	66	0.8480461481117436
in_vitro	CK1G1	41	0.097727050025329
in_vitro	CK1G2	60	0.19617796578832844
in_vitro	CK1G3	39	-0.23009022806755247
in_vitro	CK2A1	68	6.065430021230175
in_vitro	CK2A2	223	25.5365279227052
in_vitro	CLK1	64	1.6190221610926097
in_vitro	CLK2	27	1.6845216233712266
in_vitro	CLK3	58	5.096060473854302
in_vitro	CLK4	7	0.2794181008029564
in_vitro	COT	16	-2.668955547688398
in_vitro	CRIK	1	0.7188795984645948
in_vitro	CRK7	4	0.4394194171281205
in_vitro	CSK	10	-0.1670773647252649
in_vitro	CTK	82	1.7288658008741369
in_vitro	CAMK1A	24	0.5093993508719312
in_vitro	CAMK1B	15	0.5288748215726967
in_vitro	CAMK1D	38	0.1199438724139516
in_vitro	CAMK2A	114	-0.5282535420277036
in_vitro	CAMK2B	93	-0.015118453634244923
in_vitro	CAMK2D	113	-0.5167005122869104
in_vitro	CAMK2G	145	0.05582338468658935
in_vitro	CAMK4	57	0.0717007628837398
in_vitro	DAPK1	35	0.15259034080688894
in_vitro	DAPK2	4	-1.0310067403072967
in_vitro	DAPK3	2	0.08889685540070792
in_vitro	DCLK1	29	0.28247134778833055
in_vitro	DCLK2	61	-0.24383583394591327
in_vitro	DDR1	2	-0.6855899528215246
in_vitro	DDR2	13	-0.439636460746798
in_vitro	DLK	6	0.0011270942904381025
in_vitro	DMPK1	8	-0.5309190788536695
in_vitro	DRAK2	4	-0.27623777598294125
in_vitro	DYRK1A	130	1.0154015765267475
in_vitro	DYRK1B	22	0.3226122021667918
in_vitro	DYRK2	199	0.561168453934666
in_vitro	DYRK3	140	0.2035409642651288
in_vitro	DYRK4	157	4.467573453121272
in_vitro	EEF2K	20	-1.088222109077466
in_vitro	EGFR	54	-0.6957108737978799
in_vitro	EPHA1	19	-0.2292018027204889
in_vitro	EPHA2	17	-0.1879319615479783
in_vitro	EPHA3	30	0.22963069203274034
in_vitro	EPHA4	11	-0.14599890126602025
in_vitro	EPHA5	24	-0.21743689022096976
in_vitro	EPHA6	23	-0.30087035725523126
in_vitro	EPHA8	20	-0.5394709825484115
in_vitro	EPHB1	25	-0.3498235807718123
in_vitro	EPHB2	23	0.2939049582102135
in_vitro	EPHB3	22	0.3094254924821597
in_vitro	EPHB4	19	-0.17729225574809265
in_vitro	EPHA7	15	-0.5556744642325128
in_vitro	ERBB2	4	-0.2693119940596122
in_vitro	ERBB4	24	0.13420937141955014
in_vitro	ERK1	194	0.8046024445966901
in_vitro	ERK2	246	1.104083327821664
